id,candidatePrefecture,election,electiondistrict,teisu,name,kana,gender,age,newcomer,continuecount,touseki,license,kokujibi,tohyobi,tousen,twitter,candidatedistrictblock,localcandidate,birthday,age,candidatedistrict,image,hp,url,instagram,facebook,almaMater,detail
80,埼玉県,埼玉県議会議員選挙,西第7区,4,山根　史子,ﾔﾏﾈ　ﾌﾐｺ,女,38,現職,2,有,推薦,2023/3/31,2023/4/9,,yamanefumikogm1,北関東,TRUE,,,埼玉県西第7区,,,,,,,
81,埼玉県,熊谷市議会議員選挙,,30,黒澤　三千夫,ｸﾛｻﾜ　ﾐﾁｵ,男,59,現職,4,有,公認,2023/4/16,2023/4/23,,kurokumagaya,北関東,TRUE,,,埼玉県熊谷市,,,,,,,
82,埼玉県,川越市議会議員選挙,,36,片野　広隆,ｶﾀﾉ　ﾋﾛﾀｶ,男,47,現職,5,有,推薦,2023/4/16,2023/4/23,,katano_36,北関東,TRUE,,,埼玉県川越市,,,,,,,
83,埼玉県,和光市議会議員選挙,,18,鎌田　泰春,ｶﾏﾀﾞ　ﾔｽﾊﾙ,男,27,新人,,有,公認,2023/4/16,2023/4/23,,KamadaYasuharu,北関東,TRUE,,,埼玉県和光市,,,,,,,
84,三重県,三重県議会議員選挙,鈴鹿市,4,平畑　武,ﾋﾗﾊﾀ　ﾀｹｼ,男,68,現職,1,有,推薦,2023/3/31,2023/4/9,,,東海,TRUE,,,三重県鈴鹿市,,,,,,,
85,三重県,三重県議会議員選挙,津市,7,川口　円,ｶﾜｸﾞﾁ　ﾏﾄﾞｶ,男,51,現職,1,有,推薦,2023/3/31,2023/4/9,,,東海,TRUE,,,三重県津市,,,,,,,
86,三重県,三重県議会議員選挙,伊勢市,4,廣　耕太郎,ﾋﾛ　ｺｳﾀﾛｳ,男,60,現職,2,無,推薦,2023/3/31,2023/4/9,,,東海,TRUE,,,三重県伊勢市,,,,,,,
87,三重県,三重県議会議員選挙,四日市市,7,稲垣　昭義,ｲﾅｶﾞｷ　ｱｷﾖｼ,男,50,現職,5,無,推薦,2023/3/31,2023/4/9,,,東海,TRUE,,,三重県四日市市,,,,,,,
88,三重県,三重県議会議員選挙,多気郡,2,濱井　初男,ﾊﾏｲ　ﾊﾂｵ,男,72,現職,3,無,推薦,2023/3/31,2023/4/9,,,東海,TRUE,,,三重県多気郡,,,,,,,
89,三重県,四日市市議会議員選挙,,34,加納　康樹,ｶﾉｳ　ﾔｽｷ,男,57,現職,5,有,公認,2023/4/16,2023/4/23,,,東海,TRUE,,,三重県四日市市,,,,,,,
90,山形県,山形県議会議員選挙,山形市,9,梅津　庸成,ｳﾒﾂ　ﾖｳｾｲ,男,55,現職,1,有,公認,2023/3/31,2023/4/9,,umetsuyosei,東北,TRUE,,,山形県山形市,,,,,,,
91,山形県,山形県議会議員選挙,村山市,1,菊池　大二郎,ｷｸﾁ　ﾀﾞｲｼﾞﾛｳ,男,40,現職,1,有,公認,2023/3/31,2023/4/9,,,東北,TRUE,,,山形県村山市,,,,,,,
92,山形県,山形県議会議員選挙,東根市,2,齋藤　俊一郎,ｻｲﾄｳ　ｼｭﾝｲﾁﾛｳ,男,40,新人,,有,推薦,2023/3/31,2023/4/9,,,東北,TRUE,,,山形県東根市,,,,,,,
93,山形県,山形県議会議員選挙,酒田市・飽海郡,5,江口　暢子,ｴｸﾞﾁ　ﾖｳｺ,女,62,新人,,無,推薦,2023/3/31,2023/4/9,,,東北,TRUE,,,山形県酒田市・飽海郡,,,,,,,
94,山形県,米沢市議会議員選挙,,24,島貫　宏幸,ｼﾏﾇｷ　ﾋﾛﾕｷ,男,55,現職,2,有,推薦,2023/4/16,2023/4/23,,,東北,TRUE,,,山形県米沢市,,,,,,,
95,山形県,山形市議会議員選挙,,33,渋江　朋博,ｼﾌﾞｴ　ﾄﾓﾋﾛ,男,46,現職,3,有,推薦,2023/4/16,2023/4/23,,,東北,TRUE,,,山形県山形市,,,,,,,
96,山形県,山形市議会議員選挙,,33,武田　聡,ﾀｹﾀﾞ　ｻﾄｼ,男,54,現職,4,無,推薦,2023/4/16,2023/4/23,,,東北,TRUE,,,山形県山形市,,,,,,,
97,山形県,新庄市議会議員選挙,,18,新田　道尋,ﾆｯﾀ　ﾐﾁﾋﾛ,男,82,現職,8,有,公認,2023/4/16,2023/4/23,,,東北,TRUE,,,山形県新庄市,,,,,,,
98,山口県,山口県議会議員選挙,周南市,5,大内　一也,ｵｵｳﾁ　ｶｽﾞﾔ,男,48,新人,,有,公認,2023/3/31,2023/4/9,,ouchi_kazuya,中国,TRUE,,,山口県周南市,,,,,,,
99,滋賀県,滋賀県議会議員選挙,大津市,10,河井　昭成,ｶﾜｲ　ｱｷﾅﾘ,男,49,現職,1,有,公認,2023/3/31,2023/4/9,,,近畿,TRUE,,,滋賀県大津市,,,,,,,
100,滋賀県,大津市議会議員選挙,,38,日隈　慈,ﾋｸﾞﾏ　ｲﾂｷ,男,34,新人,,有,公認,2023/4/16,2023/4/23,,itsukihiguma,近畿,TRUE,,,滋賀県大津市,,,,,,,
101,滋賀県,大津市議会議員選挙,,38,草川　肇,ｸｻｶﾜ　ﾊｼﾞﾒ,男,63,現職,4,無,推薦,2023/4/16,2023/4/23,,,近畿,TRUE,,,滋賀県大津市,,,,,,,
